org_id,organization_name,industry,company_size,employees,system_id,system_name,system_type,age_years,operating_system,authentication_method,primary_protocol,has_api,supports_mfa,encryption_standard,session_based_auth,continuous_auth_capable,zta_compatibility_score,integration_difficulty,system_criticality,replacement_cost_usd,active_users,avg_auth_frequency_hours,lateral_movement_risk,vendor_support_available,compliance_requirements,network_segmentation,logging_capability,patch_frequency_months,integration_approach_recommended,days_since_last_incident,auth_failures_per_day,avg_session_duration_minutes,privileged_accounts_count
ORG001,Alpha Healthcare Inc,Healthcare,Small,190,SYS001,LegacyLegacyDatabase90,Legacy Database,8,Red Hat Linux 5,Active Directory,JDBC,No,No,AES-128,Yes,No,8.4,Low,Critical,9703402,74,17.63,Low,Yes,GDPR,Advanced,Comprehensive,2,Identity Proxy,824,42,172,6
ORG002,International Energy Group,Energy,Medium,819,SYS002,LegacyLegacyDatabase74,Legacy Database,10,Windows Server 2008,Active Directory,RDP,No,No,TLS 1.1,Yes,No,6.38,Medium,High,3109480,122,19.68,Medium,Yes,GDPR,Basic,Moderate,18,Identity Proxy,445,40,180,10
ORG003,National Retail Inc,Retail,Large,2376,SYS003,LegacyLegacyDatabase88,Legacy Database,9,Windows Server 2008,Kerberos,FTP,Yes,No,AES-128,Yes,No,10.0,Low,High,3452651,1227,11.35,Low,Yes,ISO 27001,Advanced,Moderate,23,API Gateway,615,15,266,61
ORG004,Omega Education Solutions,Education,Enterprise,13666,SYS004,LegacyLegacyDatabase55,Legacy Database,5,Oracle Linux 6,Certificate-based,LDAP,No,Yes,AES-256,Yes,No,10.0,Low,High,4249109,4044,14.33,Low,Yes,GDPR,Basic,Moderate,14,Identity Proxy,507,20,411,262
ORG005,Alpha Transportation Corp,Transportation,Medium,950,SYS005,LegacyMonolithicWebApp88,Monolithic Web App,13,Windows Server 2012,Active Directory,HTTP,No,No,TLS 1.1,Yes,No,4.97,High,Critical,17716580,316,17.54,High,Yes,ISO 27001,Basic,Comprehensive,5,Identity Proxy,269,38,158,30
ORG006,Gamma Telecom Solutions,Telecom,Large,8297,SYS006,LegacyDesktopApplication68,Desktop Application,11,Oracle Linux 6,Certificate-based,Telnet,No,No,AES-128,Yes,No,7.34,Low,Medium,2054639,1039,23.55,Low,Yes,None,Advanced,Comprehensive,22,Identity Proxy,988,17,108,51
ORG007,International Banking Systems,Banking,Large,6003,SYS007,LegacyMainframe28,Mainframe,18,Red Hat Linux 5,LDAP,SSH,No,No,3DES,Yes,No,3.48,High,High,3130331,675,19.71,High,Yes,PCI-DSS,None,Basic,10,Network Overlay,311,15,165,41
ORG008,Alpha Telecom Group,Telecom,Large,7652,SYS008,LegacyLegacyDatabase10,Legacy Database,9,Windows Server 2012,LDAP,SOAP,Yes,No,AES-128,Yes,No,10.0,Low,High,3318033,543,17.41,Low,Yes,None,Advanced,Moderate,8,API Gateway,1089,45,60,20
ORG009,Delta Telecom Inc,Telecom,Medium,1871,SYS009,LegacyERPSystem25,ERP System,8,Red Hat Linux 5,Certificate-based,SSH,Yes,No,AES-128,Yes,No,10.0,Low,Critical,13031838,281,14.78,Low,Yes,ISO 27001,Advanced,Moderate,1,API Gateway,777,26,439,24
ORG010,Alpha Telecom Inc,Telecom,Medium,1365,SYS010,LegacyMonolithicWebApp49,Monolithic Web App,9,Windows Server 2012,Kerberos,FTP,Yes,No,AES-256,Yes,No,10.0,Low,Medium,1666847,107,23.5,Low,Yes,None,Advanced,Comprehensive,21,API Gateway,857,18,472,5
