participant_id,age,industry,role,company_size,years_experience,work_location,primary_device,hours_worked_per_day,current_auth_method,daily_auth_count_current,avg_auth_time_seconds_current,zta_policy_tested,zta_auth_count_per_day,zta_interruptions_per_session,avg_auth_time_seconds,baseline_task_completion_seconds,actual_task_completion_seconds,productivity_impact_percent,time_spent_authenticating_daily_minutes,estimated_productivity_loss_minutes,frustration_score,perceived_security_score,willingness_to_use_score,workflow_disruption_score,overall_satisfaction_score,would_circumvent_security,authentication_failures,reported_errors_during_task,preferred_auth_frequency_hours,preferred_auth_methods,acceptable_for_production,felt_secure,would_recommend
P001,62,Healthcare,Developer,Large,16,Office,Laptop,8.8,Password+Email,3,28,Traditional,3,1,28,300,321,7.0,1.4,36.84,2.47,5.2,8.12,3.43,4.36,No,0,0,2.0,"Mobile App, Biometric, Hardware Token",No,No,Yes
P002,49,Education,Support,Medium,25,Remote,Laptop,8.1,SSO,2,7,Adaptive ZTA,15,6,11,300,351,17.0,2.75,82.38,4.66,8.66,7.86,5.59,4.07,No,0,0,0.25,"Hardware Token, Mobile App, Biometric",No,Yes,Yes
P002,49,Education,Support,Medium,25,Remote,Laptop,8.1,SSO,2,7,Traditional,2,1,7,300,293,-2.33,0.23,-11.31,2.76,4.91,8.67,2.33,4.62,No,0,0,8.0,"Email Link, Biometric",No,No,Yes
P003,60,Tech,Analyst,Medium,25,Home,Mobile,9.5,SSO,7,27,Aggressive ZTA,56,26,20,300,820,100.0,18.67,571.71,8.2,8.13,3.74,8.7,1.24,Yes,2,1,2.0,"Email Link, SSO",No,Yes,No
P004,31,Government,Manager,Medium,9,Remote,Tablet,8.1,Biometric,4,28,Biometric ZTA,22,8,2,300,303,1.0,0.73,4.85,2.46,7.32,9.04,2.79,5.28,No,1,1,4.0,"Password, Mobile App",No,Yes,Yes
P005,57,Banking,Admin,Large,35,Hybrid,Laptop,7.9,LDAP,4,29,Biometric ZTA,20,7,4,300,340,13.33,1.33,63.04,4.29,8.02,7.32,2.88,4.54,No,0,0,1.0,Password,No,Yes,Yes
P006,55,Banking,Executive,Large,8,Hybrid,Desktop,7.2,SSO,8,30,Traditional,8,3,30,300,401,33.67,4.0,144.91,3.63,5.96,8.07,2.25,4.53,No,0,0,1.0,"Password, SSO, Hardware Token",No,No,Yes
P007,56,Retail,Support,Medium,24,Office,Desktop,7.7,Password+SMS,6,19,Traditional,6,3,19,300,351,17.0,1.9,78.28,3.18,4.01,8.42,2.12,4.28,No,0,0,24.0,"Biometric, Password",No,No,Yes
P007,56,Retail,Support,Medium,24,Office,Desktop,7.7,Password+SMS,6,19,Adaptive ZTA,11,9,12,300,401,33.67,2.2,155.02,4.62,8.45,8.65,4.73,4.44,No,0,0,24.0,"Hardware Token, Biometric",No,Yes,Yes
P008,28,Manufacturing,Executive,Medium,4,Office,Laptop,8.2,LDAP,7,6,Traditional,7,1,6,300,298,-0.67,0.7,-3.28,3.07,4.28,7.37,2.93,3.91,No,0,0,24.0,"Biometric, Email Link, Password",No,No,Yes
P008,28,Manufacturing,Executive,Medium,4,Office,Laptop,8.2,LDAP,7,6,Biometric ZTA,22,8,3,300,314,4.67,1.1,22.98,3.22,7.96,9.59,3.71,5.16,No,1,0,0.25,"Mobile App, SSO",No,Yes,Yes
P009,40,Manufacturing,Specialist,Medium,10,Office,Mobile,7.2,Password+Email,2,23,Aggressive ZTA,60,41,9,300,660,100.0,9.0,430.29,7.21,8.14,3.59,8.21,1.58,Yes,1,4,4.0,"Biometric, Password, Email Link",No,Yes,No
P009,40,Manufacturing,Specialist,Medium,10,Office,Mobile,7.2,Password+Email,2,23,Traditional,2,2,23,300,363,21.0,0.77,90.36,3.13,4.63,7.52,3.34,3.92,No,0,0,1.0,"Hardware Token, Mobile App",No,No,Yes
